,avgfee,avgfeerate,avgtxsize,blockhash,height,ins,maxfee,maxfeerate,maxtxsize,medianfee,mediantime,mediantxsize,minfee,minfeerate,mintxsize,outs,subsidy,swtotal_size,swtotal_weight,swtxs,time,total_out,total_size,total_weight,totalfee,txs,utxo_increase,utxo_size_inc
79,5299,11,628,00000000000000000004aea2d0b9f32a9b680c0ef76eaf6d0600c623956cc893,703679,4985,393830,474,97390,1660,1633438189,225,150,1,188,14749,625000000,1177224,3295260,1656,1633442598,7588980461146,1351401,3991968,11394508,2151,9764,724896
80,5208,18,434,000000000000000000032aca344c9550895fa8c82e9ede4ad9fc69aab1b732c9,703680,6506,354000,351,48593,1491,1633439201,226,142,1,188,10229,625000000,1282952,3098564,2851,1633443548,3750180865411,1506306,3991980,18056197,3468,3723,275396
81,3612,7,611,00000000000000000009f6dc23068ad583207aaafca607d7031ca7d84157683b,703681,6416,645750,266,90198,1030,1633439577,248,247,1,188,7186,625000000,925447,2359303,1746,1633443642,2829694427762,1334707,3996343,7888792,2185,770,55320
82,2704,8,466,0000000000000000000044cd0bd631fde905e7703263f437610e71fdfc328db4,703682,6580,309100,300,66163,960,1633439962,246,144,1,188,7772,625000000,1094916,2557494,2427,1633443987,755464784421,1453501,3991834,8418488,3114,1192,88868
83,2627,8,426,0000000000000000000dd6b4cd8de763bfec729a0ce335fdba29e53d370348b2,703683,6983,2546496,552,51503,663,1633442329,225,141,1,188,7871,625000000,1146459,2882937,2763,1633444174,318521514267,1423616,3991565,8770133,3339,888,66059
84,4098,12,511,00000000000000000002a353f8aa661ae001f24099a112a511a3fb26c6ad88c9,703684,7153,543210,469,102685,1400,1633442598,225,144,1,188,8433,625000000,1325947,3174883,2432,1633444796,1025109545236,1530192,3991863,12259272,2992,1280,96519
85,5177,5,1165,0000000000000000000de3fd3e1e5ab7c3c1b13eadf1bbc3952feac052db247f,703685,7122,549700,301,108971,1036,1633443548,249,282,2,188,2918,625000000,941507,2722148,782,1633444931,2610120411166,1258916,3991784,5591857,1081,4204,312921
86,3304,8,637,0000000000000000000123d30cbabec047b36f039fac4470da67dc222907ab82,703686,7968,301100,302,144124,1031,1633443642,226,190,1,188,6382,625000000,1390670,3278606,2009,1633445373,8048238317639,1569011,3991970,8139289,2464,1586,113014
87,5361,15,535,00000000000000000000347f5a917e1143172c8b2efaf94f058b80be9cee1a71,703687,6750,1684239,776,102750,1267,1633443987,226,261,1,188,8378,625000000,1263186,3002391,2213,1633446104,3481489883440,1510587,3991995,15134900,2824,1628,121972
88,3579,10,514,0000000000000000000951cd351d797329ab918fd7210bdedaec386b3ad4d0e0,703688,7087,791196,312,65741,884,1633444174,225,185,1,188,7685,625000000,1203380,2900036,2311,1633446489,462628356629,1477495,3996496,10283672,2874,598,46073
89,3809,10,539,0000000000000000000a380a3bcf79b38c4130d4996ebe80186cb56d6ed33b9d,703689,7022,543320,348,102593,1045,1633444796,226,310,1,188,8626,625000000,1334171,3227060,2299,1633447079,3296185081792,1525390,3991936,10780182,2831,1604,126094
90,3748,10,525,000000000000000000096ee3230f12f036a5b02a3b709a2ce5575f62d5ddf795,703690,7228,538920,297,101538,1042,1633444931,234,142,1,188,8129,625000000,1282427,3087170,2300,1633447610,3033306335456,1508596,3991846,10759514,2871,901,70129
91,1443,4,554,0000000000000000000cf00cfb2ba71c56728532156ede370ceab181b13aa80d,703691,6855,270300,230,89148,533,1633445373,284,144,1,188,6860,625000000,1379751,3275934,2409,1633447693,157636453752,1558751,3991934,4061553,2814,5,18382
92,4149,10,617,000000000000000000062430ebf423bb5eec45401b220a2735a46c8934d0d09d,703692,7847,619410,494,137118,996,1633446104,226,146,1,188,6977,625000000,1352777,3111938,2097,1633448199,5452326192631,1574192,3997598,10576729,2550,870,61639
93,3783,11,573,0000000000000000000ddd92bb3e3f8e303f769287adc8dc5578667da410a32d,703693,6923,872652,301,178528,981,1633446489,226,271,1,188,7754,625000000,1514179,3347644,2450,1633448694,3261520108404,1675175,3991628,11045362,2920,831,65585
94,2108,5,539,00000000000000000000f4d02c410a8cd8dc2eb5c7cd3594fd0a3b6561c328db,703694,7042,791956,302,161482,330,1633447079,224,142,1,188,6299,625000000,1264189,3299452,2441,1633448852,2737696089326,1437309,3991932,5613885,2664,743,55536
95,6559,14,787,00000000000000000008b5cb4d434daa1a70ad860f6be4dda5a8cb8cfad251ef,703695,6917,1051336,450,214400,1540,1633447610,226,336,1,188,6781,625000000,1603623,3413712,1802,1633449556,10679600644339,1749336,3996564,14561125,2221,136,6879
96,18129,42,670,00000000000000000009a292a55455fe8b857cc8d9dc049bf0f30f42c6610054,703696,7338,8793012,484,170846,2602,1633447693,225,228,2,188,7570,625000000,1351963,3183850,1781,1633451019,5389401980494,1553895,3991578,41987952,2317,232,18345
97,4760,15,473,00000000000000000004155c8aef586faaa24a7a76498fefe2637218b40e1c2c,703697,7562,836600,302,102800,1421,1633448199,225,142,1,188,8359,625000000,1336789,3182974,2733,1633451594,7782147872874,1538989,3991774,15462610,3249,797,62279
98,3439,9,531,00000000000000000008f6309600345615a2f769892ae96b459e816ff235a0dd,703698,6430,506188,348,34928,1130,1633448694,249,264,1,188,9459,625000000,1293652,3161617,2270,1633451936,991187484062,1501201,3991813,9712809,2825,3029,228547
99,6623,15,689,0000000000000000000b6b6cbc221f9553aabdc641ca2f8fbe07968386bf6c6b,703699,7251,544240,506,102558,1360,1633448852,230,136,1,188,7413,625000000,1322295,3012846,1764,1633452664,5980493496881,1568494,3997642,15061361,2275,162,14841
