fees,vsize,time,sats/vbyte
678,223,2022-06-11 20:54:48-04:00,3
1704,142,2022-06-11 20:54:48-04:00,12
3507,315,2022-06-11 20:54:48-04:00,11
1108,142,2022-06-11 20:54:48-04:00,7
845,178,2022-06-11 20:54:48-04:00,4
746,142,2022-06-11 20:54:49-04:00,5
419,141,2022-06-11 20:54:49-04:00,2
2820,141,2022-06-11 20:54:51-04:00,20
1356,113,2022-06-11 20:54:52-04:00,12
5650,223,2022-06-11 20:54:52-04:00,25
735,164,2022-06-11 20:54:52-04:00,4
330,142,2022-06-11 20:54:52-04:00,2
285,170,2022-06-11 20:54:52-04:00,1
3471,2133,2022-06-11 20:54:52-04:00,1
6370,181,2022-06-11 20:54:54-04:00,35
3560,177,2022-06-11 20:54:54-04:00,20
1316,144,2022-06-11 20:54:54-04:00,9
2057,111,2022-06-11 20:54:54-04:00,18
193,134,2022-06-11 20:54:56-04:00,1
1728,144,2022-06-11 20:54:57-04:00,12
1108,142,2022-06-11 20:54:57-04:00,7
336,144,2022-06-11 20:54:57-04:00,2
362,178,2022-06-11 20:54:57-04:00,2
4160,208,2022-06-11 20:54:59-04:00,20
1332,111,2022-06-11 20:54:59-04:00,12
1674,142,2022-06-11 20:54:59-04:00,11
419,141,2022-06-11 20:54:59-04:00,2
417,254,2022-06-11 20:55:00-04:00,1
1586,142,2022-06-11 20:55:01-04:00,11
579,190,2022-06-11 20:55:01-04:00,3
1221,110,2022-06-11 20:55:01-04:00,11
1609,144,2022-06-11 20:55:01-04:00,11
2497,225,2022-06-11 20:55:01-04:00,11
838,141,2022-06-11 20:55:01-04:00,5
1273,110,2022-06-11 20:55:04-04:00,11
823,166,2022-06-11 20:55:04-04:00,4
21426,19008,2022-06-11 20:55:04-04:00,1
1576,141,2022-06-11 20:55:06-04:00,11
330,111,2022-06-11 20:55:06-04:00,2
419,142,2022-06-11 20:55:06-04:00,2
6496,224,2022-06-11 20:55:07-04:00,29
2082,111,2022-06-11 20:55:07-04:00,18
3001,189,2022-06-11 20:55:09-04:00,15
1576,141,2022-06-11 20:55:09-04:00,11
17174,1547,2022-06-11 20:55:09-04:00,11
1474,211,2022-06-11 20:55:09-04:00,6
1576,141,2022-06-11 20:55:09-04:00,11
1576,141,2022-06-11 20:55:09-04:00,11
641,111,2022-06-11 20:55:09-04:00,5
741,141,2022-06-11 20:55:10-04:00,5
1065,212,2022-06-11 20:55:11-04:00,5
641,122,2022-06-11 20:55:11-04:00,5
1540,166,2022-06-11 20:55:11-04:00,9
1025,204,2022-06-11 20:55:11-04:00,5
2330,169,2022-06-11 20:55:12-04:00,13
1605,144,2022-06-11 20:55:13-04:00,11
20770,668,2022-06-11 20:55:14-04:00,31
1728,144,2022-06-11 20:55:14-04:00,12
1692,141,2022-06-11 20:55:14-04:00,12
659,142,2022-06-11 20:55:14-04:00,4
3341,300,2022-06-11 20:55:15-04:00,11
1704,142,2022-06-11 20:55:15-04:00,12
2208,347,2022-06-11 20:55:15-04:00,6
541,177,2022-06-11 20:55:15-04:00,3
1576,141,2022-06-11 20:55:15-04:00,11
3359,168,2022-06-11 20:55:18-04:00,19
641,111,2022-06-11 20:55:18-04:00,5
1595,144,2022-06-11 20:55:19-04:00,11
762,141,2022-06-11 20:55:19-04:00,5
330,142,2022-06-11 20:55:19-04:00,2
423,142,2022-06-11 20:55:19-04:00,2
2371,142,2022-06-11 20:55:19-04:00,16
2486,224,2022-06-11 20:55:19-04:00,11
2231,316,2022-06-11 20:55:19-04:00,7
